ServerName;DatabaseName;SQLServerVersion;QueryExecutedAt
----------;------------;----------------;---------------
AOVIA2VMS006;AlplaPROD_aovia2;Microsoft SQL Server 2022 (RTM) - 16.0.1000.6 (X64) 
	Oct  8 2022 05:58:25 
	Copyright (C) 2022 Microsoft Corporation
	Standard Edition (64-bit) on Windows Server 2022 Standard 10.0 <X64> (Build 20348: ) (Hypervisor)
;5/29/2026 11:11:50 PM

(1 rows affected)

SchemaName;SchemaId
----------;--------
AlplaAPP;5
AlplaREPORTBUDGET;6
db_accessadmin;16385
db_backupoperator;16389
db_datareader;16390
db_datawriter;16391
db_ddladmin;16387
db_denydatareader;16392
db_denydatawriter;16393
db_owner;16384
db_securityadmin;16386
dbo;1

(12 rows affected)

SchemaName;TableName;ApproxRowCount;CreatedDate;LastModifiedDate
dbo;T_Berichte;9;9/27/2018 2:20:03 PM;5/20/2026 8:33:14 AM
dbo;T_BestandsGrenzen;0;9/27/2018 2:20:00 PM;5/20/2026 8:33:15 AM
dbo;T_BestellMengenGrenzen;0;9/27/2018 2:20:01 PM;5/20/2026 8:33:15 AM
dbo;T_Bestellpositionen;874;9/27/2018 2:20:01 PM;5/20/2026 8:33:15 AM
dbo;T_BestellPositionenBewertungen;0;9/27/2018 2:20:02 PM;5/20/2026 8:33:15 AM
dbo;T_Bestellung;0;9/27/2018 2:20:01 PM;5/20/2026 8:33:15 AM
dbo;T_Bestellungen;824;9/27/2018 2:20:01 PM;5/20/2026 8:33:15 AM
dbo;T_BestellungenJournal;842;9/27/2018 2:20:02 PM;5/20/2026 8:33:15 AM
dbo;T_Bestellvorschlaege;0;9/27/2018 2:20:01 PM;5/20/2026 8:33:15 AM
dbo;T_Blaskopf;0;9/27/2018 2:20:00 PM;5/20/2026 8:33:15 AM
dbo;T_BlaskopfNummern;4854;9/27/2018 2:20:00 PM;5/20/2026 8:33:15 AM
dbo;T_BlockingDefects;498;9/27/2018 2:20:02 PM;5/20/2026 8:33:15 AM
dbo;T_BlockingDefectsGroups;36;9/27/2018 2:20:02 PM;5/20/2026 8:33:15 AM
dbo;T_BlockingOrders;135;9/27/2018 2:20:00 PM;5/20/2026 8:33:15 AM
dbo;T_BlockingOrders_Positions;1961;9/27/2018 2:20:00 PM;5/20/2026 8:33:15 AM
dbo;T_BlockingOrdersAdditionalDefects;1;9/27/2018 2:20:02 PM;5/20/2026 8:33:15 AM
dbo;T_BuchungsGruende;25;9/27/2018 2:20:03 PM;5/20/2026 8:33:15 AM
dbo;T_BudgetAbsatzplan;81;9/27/2018 2:20:03 PM;5/20/2026 8:33:15 AM
dbo;T_BudgetAbsatzplanDetails;195;9/27/2018 2:20:03 PM;5/20/2026 8:33:15 AM
dbo;T_BudgetBlaskopf;0;9/27/2018 2:20:03 PM;5/20/2026 8:33:15 AM
dbo;T_BudgetEinstellungen;5;9/27/2018 2:20:03 PM;5/20/2026 8:33:15 AM
dbo;T_BudgetMaschinentypen;12;9/27/2018 2:20:03 PM;5/20/2026 8:33:15 AM
dbo;T_CoexPos;0;9/27/2018 2:20:01 PM;5/20/2026 8:33:15 AM
dbo;T_CoexSchichten;0;9/27/2018 2:20:01 PM;5/20/2026 8:33:15 AM
dbo;T_ComplaintPositions;33;3/4/2020 4:43:54 PM;5/20/2026 8:33:15 AM
dbo;T_EAIFakturaLeistungen;0;9/27/2018 2:20:03 PM;5/20/2026 8:33:15 AM
dbo;T_EAIFakturaPositionen;0;9/27/2018 2:20:03 PM;5/20/2026 8:33:16 AM
dbo;T_EAIJournal;4295;9/27/2018 2:19:59 PM;5/20/2026 8:33:16 AM
dbo;T_EAIJournalAdresse;17180;9/27/2018 2:19:59 PM;5/20/2026 8:33:16 AM
dbo;T_EAIJournalAmo;0;9/27/2018 2:20:03 PM;5/20/2026 8:33:16 AM
dbo;T_EAIJournalBeleg;1;9/27/2018 2:20:03 PM;5/20/2026 8:33:16 AM
dbo;T_EAIJournalBestellPosition;1519;9/27/2018 2:19:59 PM;5/20/2026 8:33:16 AM
dbo;T_EAIJournalEx;0;9/27/2018 2:20:03 PM;9/27/2018 2:20:03 PM
dbo;T_EAIJournalLayout;0;9/27/2018 2:20:01 PM;5/20/2026 8:33:16 AM
dbo;T_EAIJournalLeistungsPosition;0;9/27/2018 2:20:00 PM;5/20/2026 8:33:16 AM
dbo;T_EAIJournalLeistungsVorlageZuordnung;0;9/27/2018 2:20:00 PM;5/20/2026 8:33:16 AM
dbo;T_EAIJournalLieferPosition;48226;9/27/2018 2:20:01 PM;5/20/2026 8:33:16 AM
dbo;T_EAIJournalPosition;4676;9/27/2018 2:19:59 PM;5/20/2026 8:33:16 AM
dbo;T_EAIJournalSynch;3747;9/27/2018 2:20:00 PM;5/20/2026 8:33:16 AM
dbo;T_EAIJournalText;0;9/27/2018 2:20:02 PM;5/20/2026 8:33:16 AM
dbo;T_EAIJournalTextPosition;0;9/27/2018 2:20:03 PM;5/20/2026 8:33:16 AM
dbo;T_EAIJournalTextVorlageZuordnung;0;9/27/2018 2:20:02 PM;5/20/2026 8:33:16 AM
dbo;T_EAIJournalWarenPosition;4901;9/27/2018 2:20:00 PM;5/20/2026 8:33:17 AM
dbo;T_EAIKundenAbrufBestaetigungen;0;9/27/2018 2:20:02 PM;5/20/2026 8:33:16 AM
dbo;T_EAIKundenAbrufe;0;9/27/2018 2:20:01 PM;5/20/2026 8:33:16 AM
dbo;T_EAIKundenBestand;0;9/27/2018 2:20:00 PM;5/20/2026 8:33:16 AM
dbo;T_EAIMandanten;0;9/27/2018 2:20:03 PM;5/20/2026 8:33:17 AM
dbo;T_EAIPrognosen;0;9/27/2018 2:20:02 PM;5/20/2026 8:33:16 AM
dbo;T_EDIDifferenzen;0;5/29/2019 6:58:41 PM;5/20/2026 8:33:16 AM
dbo;T_EDIDokumente;950;9/27/2018 2:20:01 PM;5/20/2026 8:33:16 AM
dbo;T_EDIDokumentPositionen;1063;9/27/2018 2:20:01 PM;5/20/2026 8:33:16 AM
dbo;T_EDIKonfigurationen;2;9/27/2018 2:20:00 PM;5/20/2026 8:33:16 AM
dbo;T_EDIPositionDetails;11145;9/27/2018 2:20:01 PM;5/20/2026 8:33:16 AM
dbo;T_EDIRouting;2;9/27/2018 2:19:59 PM;5/20/2026 8:33:16 AM
