TableName;ApproxRowCount;CreatedDate;ColumnCount
T_AuftragsAbrufeHistorie;IdArtikelVariante;6;int;;10;YES
T_AuftragsAbrufeHistorie;IdKundenAdresse;7;int;;10;YES
T_AuftragsAbrufeHistorie;IdLieferAdresse;8;int;;10;YES
T_AuftragsAbrufeHistorie;IdRechnungsAdresse;9;int;;10;YES
T_AuftragsAbrufeHistorie;IdVpkVorschrift;10;int;;10;YES
T_AuftragsAbrufeHistorie;IdHauptmaterial;11;int;;10;YES
T_AuftragsAbrufeHistorie;IdProdAuftrag;12;int;;10;YES
T_AuftragsAbrufeHistorie;AbrufNummer;13;nvarchar;50;;YES
T_AuftragsAbrufeHistorie;AbrufDatum;14;datetime;;;YES
T_AuftragsAbrufeHistorie;AbrufMenge;15;float;;53;YES
T_AuftragsAbrufeHistorie;AbrufMengeVPK;16;float;;53;YES
T_AuftragsAbrufeHistorie;AbrufLiefertermin;17;datetime;;;YES
T_AuftragsAbrufeHistorie;AbrufAbdeckung;18;float;;53;YES
T_AuftragsAbrufeHistorie;AbrufStatus;19;int;;10;YES
T_AuftragsAbrufeHistorie;AbrufLieferStatus;20;int;;10;YES
T_AuftragsAbrufeHistorie;AbrufBemerkung;21;nvarchar;250;;YES
T_AuftragsAbrufeHistorie;GeplanteMenge;22;float;;53;YES
T_AuftragsAbrufeHistorie;GeplanteMengeVPK;23;float;;53;YES
T_AuftragsAbrufeHistorie;GelieferteMenge;24;float;;53;YES
T_AuftragsAbrufeHistorie;GelieferteMengeVPK;25;float;;53;YES
T_AuftragsAbrufeHistorie;LetztesLieferDatum;26;datetime;;;YES
T_AuftragsAbrufeHistorie;Add_User;27;nvarchar;50;;YES
T_AuftragsAbrufeHistorie;Add_Date;28;datetime;;;YES
T_AuftragsAbrufeHistorie;Upd_User;29;nvarchar;50;;YES
T_AuftragsAbrufeHistorie;Upd_Date;30;datetime;;;YES
T_AuftragsAbrufeHistorie;PreisGueltigAb;31;int;;10;YES
T_AuftragsAbrufeHistorie;ToleranzTyp;32;int;;10;YES
T_AuftragsAbrufeHistorie;IdAuftragsBest;33;int;;10;YES
T_AuftragsAbrufeHistorie;PreisProEinheit;34;float;;53;YES
T_AuftragsAbrufeHistorie;Typ;35;int;;10;YES
T_AuftragsAbrufeHistorie;KdArtNr;36;nvarchar;100;;YES
T_AuftragsAbrufeHistorie;KdArtBez;37;nvarchar;100;;YES
T_AuftragsAbrufeHistorie;IdLieferkondition;38;int;;10;YES
T_AuftragsAbrufeHistorie;LieferkonditionBez;39;nvarchar;250;;YES
T_AuftragsAbrufeHistorie;IdZahlKond;40;int;;10;YES
T_AuftragsAbrufeHistorie;IdAuftragsBestText;41;int;;10;YES
T_AuftragsAbrufeHistorie;AuftragsBestText;42;nvarchar;1024;;YES
T_AuftragsAbrufeHistorie;IdLieferscheinText;43;int;;10;YES
T_AuftragsAbrufeHistorie;LieferscheinText;44;nvarchar;1024;;YES
T_AuftragsAbrufeHistorie;IdRechnungText;45;int;;10;YES
T_AuftragsAbrufeHistorie;RechnungText;46;nvarchar;1024;;YES
T_AuftragsAbrufeHistorie;PlanStatus;47;int;;10;YES
T_AuftragsAbrufeHistorie;AbrufLadeDatum;48;datetime;;;YES
T_AuftragsAbrufeHistorie;Guid;49;uniqueidentifier;;;YES
T_AuftragsAbrufeHistorie;AenderungsTyp;50;int;;10;YES
T_AuftragsAbrufeHistorie;AenderungsTypBez;51;nvarchar;20;;YES
T_EtikettenHistorie;IdEtikettenHistorie;1;int;;10;NO
T_EtikettenHistorie;IdEtikettenGedruckt;2;int;;10;NO
T_EtikettenHistorie;IdEtikettenVerworfen;3;int;;10;NO
T_EtikettenHistorie;IdEtikettenDummy;4;int;;10;NO
T_EtikettenHistorie;Modus;5;int;;10;NO
T_EtikettenHistorie;Status;6;int;;10;NO
T_EtikettenHistorie;Add_User;7;nvarchar;50;;NO
T_EtikettenHistorie;Add_Date;8;datetime;;;NO
T_EtikettenHistorie;Upd_User;9;nvarchar;50;;YES
T_EtikettenHistorie;Upd_Date;10;datetime;;;YES
T_EtikettenHistorie;ComputerName;11;nvarchar;50;;YES
T_EtikettenHistorie;IdEtikettenGemappt;12;int;;10;YES
T_EtikettenLog;IdEtikettenLog;1;int;;10;NO
T_EtikettenLog;IdArtikelvariante;2;int;;10;YES
T_EtikettenLog;IdAdresse;3;int;;10;YES
