TableName;ApproxRowCount;CreatedDate;ColumnCount
---------;--------------;-----------;-----------
syncobj_0x3739433543393042;EdiAbrufMengeVPK;float;;YES
syncobj_0x3739433543393042;EdiAbrufLiefertermin;datetime;;YES
syncobj_0x3739433543393042;EdiImportAkzeptanz;int;;YES
syncobj_0x3739433543393042;EdiIdVpkVorschrift;int;;YES
syncobj_0x3744424642304131;IdEDIDokumentPosition;int;;YES
syncobj_0x3746303632343339;IdSpediteur;int;;NO
syncobj_0x3837304143463034;IdSpediteuradresse;int;;NO
syncobj_0x3838363837383144;IdEDIDokumentPosition;int;;YES
syncobj_0x3839453242383331;IdEDIDokument;int;;NO
syncobj_0x3839453242383331;EDITyp;int;;NO
syncobj_0x3839453242383331;EDIRichtung;int;;NO
syncobj_0x3839453242383331;EDISchemaVersion;int;;YES
syncobj_0x3842424441423839;EdiImportStatus;int;;YES
syncobj_0x3842424441423839;EdiImportPlausi;int;;YES
syncobj_0x3842424441423839;EdiImportPlausiKategorie;int;;YES
syncobj_0x3842424441423839;EdiPositionsMenge;float;;YES
syncobj_0x3842424441423839;EdiPositionsMengeVPK;float;;YES
syncobj_0x3842424441423839;EdiPositionsLiefertermin;datetime;;YES
syncobj_0x3938413344384234;IdEDIDifferenz;int;;NO
syncobj_0x4132344341313032;IdSpediteur;int;;NO
syncobj_0x4133433636314633;IdEDIDokumentPosition;int;;YES
syncobj_0x4133433636314633;EdiImportStatus;int;;YES
syncobj_0x4133433636314633;EdiImportPlausiKategorie;int;;YES
syncobj_0x4133433636314633;EdiImportPlausi;int;;YES
syncobj_0x4133433636314633;EdiAbrufMenge;float;;YES
syncobj_0x4133433636314633;EdiAbrufMengeVPK;float;;YES
syncobj_0x4133433636314633;EdiAbrufLiefertermin;datetime;;YES
syncobj_0x4133433636314633;EdiAbrufLadeDatum;datetime;;YES
syncobj_0x4133433636314633;EdiAbrufDatum;datetime;;YES
syncobj_0x4133433636314633;EdiIdVpkVorschrift;int;;YES
syncobj_0x4232323436453639;IdEDIKonfiguration;int;;YES
syncobj_0x4232343746313738;ProduzierteMengeEditierbar;int;;YES
syncobj_0x4233393341444138;IdEDIKonfiguration;int;;NO
syncobj_0x4243463634303843;IdEDIDokument;int;;NO
syncobj_0x4243463634303843;EDITyp;int;;NO
syncobj_0x4243463634303843;EDIRichtung;int;;NO
syncobj_0x4243463634303843;EDISchemaVersion;int;;YES
syncobj_0x4331443732344433;IdEDIPositionDetail;int;;NO
syncobj_0x4331443732344433;IdEDIDokumentPosition;int;;NO
syncobj_0x4336343646324534;IdSpediteur;int;;NO
syncobj_0x4343373230324646;ProduzierteMengeEditierbar;int;;YES
syncobj_0x4344354645424237;EdiImportStatus;int;;YES
