TABLE_SCHEMA;TABLE_NAME;COLUMN_NAME;DATA_TYPE;CHARACTER_MAXIMUM_LENGTH;IS_NULLABLE;ORDINAL_POSITION
------------;----------;-----------;---------;------------------------;-----------;----------------
dbo;syncobj_0x3038443930374441;IdBestellMengenGrenzen;int;;NO;1
dbo;syncobj_0x3038443930374441;MinimumBestellMenge;float;;YES;4
dbo;syncobj_0x3038443930374441;MaximumBestellMenge;float;;YES;5
dbo;syncobj_0x3038443930374441;MinimumBestellMengeVPK;float;;YES;6
dbo;syncobj_0x3038443930374441;MaximumBestellMengeVPK;float;;YES;7
dbo;syncobj_0x3043433532433946;IdRahmenBestellungPosition;int;;NO;1
dbo;syncobj_0x3043433532433946;IdRahmenBestellung;int;;NO;2
dbo;syncobj_0x3138334137394332;IdBestellung;int;;NO;1
dbo;syncobj_0x3144373842353445;BestellDatum;datetime;;YES;16
dbo;syncobj_0x3144373842353445;BestellMenge;float;;YES;17
dbo;syncobj_0x3144373842353445;BestellMengeVPK;float;;YES;18
dbo;syncobj_0x3230343830344142;IdBestellPositionenBewertung;int;;NO;1
dbo;syncobj_0x3230343830344142;IdBestellPosition;int;;NO;2
dbo;syncobj_0x3230343830344142;BestellPositionBewertung;float;;NO;11
dbo;syncobj_0x3230443838313643;Bestellnummer;nvarchar;50;YES;19
dbo;syncobj_0x3244334143414131;BestellDatum;datetime;;YES;10
dbo;syncobj_0x3244334143414131;IdJournalBestellPosition;int;;YES;27
dbo;syncobj_0x3244334143414131;IdBestellung;int;;YES;33
dbo;syncobj_0x3244334143414131;BestellungNummer;nvarchar;50;YES;34
dbo;syncobj_0x3244334143414131;BestellungDatum;datetime;;YES;35
dbo;syncobj_0x3244334143414131;IdBestellungPosition;int;;YES;50
dbo;syncobj_0x3244334143414131;ReferenzBestellungNummer;nvarchar;50;YES;51
dbo;syncobj_0x3244334143414131;ReferenzBestellungDatum;datetime;;YES;52
dbo;syncobj_0x3244334143414131;ReferenzBestellungPosition;nvarchar;50;YES;69
dbo;syncobj_0x3244334143414131;IdBestellVorschlag;int;;YES;80
dbo;syncobj_0x3244334143414131;BestellVorschlagBez;nvarchar;50;YES;81
dbo;syncobj_0x3244334143414131;BestellVorschlagDatum;datetime;;YES;82
dbo;syncobj_0x3244334143414131;IdBestellVorschlagPosition;int;;YES;83
dbo;syncobj_0x3244334143414131;BestellungPositionNr;int;;YES;84
dbo;syncobj_0x3330343635414335;Bestellnummer;nvarchar;50;YES;14
dbo;syncobj_0x3342413233323246;IdBestellungJournal;int;;NO;1
dbo;syncobj_0x3342413233323246;IdBestellung;int;;NO;2
dbo;syncobj_0x3342434639333542;BestellDatum;datetime;;NO;7
dbo;syncobj_0x3342434639333542;BestellNr;nvarchar;50;NO;9
dbo;syncobj_0x3438364442433339;IdBestellVorschlag;int;;YES;53
dbo;syncobj_0x3438364442433339;BestellVorschlagRevision;int;;YES;54
dbo;syncobj_0x3444314345314646;BestellDatum;datetime;;YES;10
dbo;syncobj_0x3444314345314646;IdJournalBestellPosition;int;;YES;27
dbo;syncobj_0x3444314345314646;IdBestellung;int;;YES;33
dbo;syncobj_0x3444314345314646;BestellungNummer;nvarchar;50;YES;34
dbo;syncobj_0x3444314345314646;BestellungDatum;datetime;;YES;35
dbo;syncobj_0x3444314345314646;IdBestellungPosition;int;;YES;50
