TableName;ApproxRowCount;ColumnCount
---------;--------------;-----------
T_EAIMandanten;0;54
T_Maschine_Werkzeug;20;9
T_PA_Werkzeug;29;9
T_PartnerWerke;0;7
T_tmpAmoWerkzeug;0;16
T_tmpBudget_eMis_WerkzeugAMO;0;21
T_tmpBudgetWerkzeugBedarf;0;10
T_tmpBudgetWerkzeugliste;0;6
T_Werke;526;36
T_Werkzeug;29;35
T_Werkzeug_Blaskopf;0;8
T_ZentraleWerkzeuge;18748;13

(12 rows affected)

TABLE_NAME;COLUMN_NAME;DATA_TYPE;CHARACTER_MAXIMUM_LENGTH;IS_NULLABLE
----------;-----------;---------;------------------------;-----------
Alpla_Blowheads;werk_id;int;;NO
ALPLA_GRAV_NUMBERS;stamm_werkzg_nr;nvarchar;100;YES
ALPLA_MD_WERK;werk_id;int;;NO
ALPLA_MD_WERK;werk_name;nvarchar;70;NO
ALPLA_MD_WERK;werk_country_id;nvarchar;50;NO
ALPLA_MD_WERK;werk_mail;nvarchar;70;NO
ALPLA_MD_WERK;werk_RepKennz;nvarchar;50;NO
ALPLA_MD_WERK;werk_DINISOzert;nvarchar;50;NO
ALPLA_MD_WERK;werk_curr_id;nvarchar;50;NO
ALPLA_MD_WERK;werk_Firmennummer;nvarchar;70;NO
ALPLA_MD_WERK;werk_incl_olap;int;;NO
ALPLA_MD_WERK;werk_Firmennummer_soplar;nvarchar;70;NO
ALPLA_MD_WERK;werk_server;nvarchar;100;NO
ALPLA_MD_WERK;werk_db;nvarchar;100;NO
ALPLA_MD_WERK;werk_shortcut;nvarchar;50;NO
ALPLA_MD_WERK;werk_OrgRegion_id;int;;NO
ALPLA_MD_WERK;werk_close_date;datetime;;YES
ALPLA_MD_WERK;werk_ReplicationServer;nvarchar;100;NO
ALPLA_MD_WERK;werk_LocationType;int;;NO
syncobj_0x3030393832313044;IdPartnerWerk;int;;NO
syncobj_0x3033453235384236;budget_werk_id;int;;YES
syncobj_0x3033453235384236;wamo_WerkzTyp;nvarchar;100;YES
syncobj_0x3033453235384236;wamo_werkzeug_id;int;;YES
syncobj_0x3033453235384236;IDemisWerkzeugAmo;int;;NO
syncobj_0x3034383241324238;stamm_werkzg_nr;nvarchar;100;YES
syncobj_0x3041313244304342;IdWerkzeug;int;;YES
syncobj_0x3041393939324544;budget_werk_id;int;;YES
syncobj_0x3041393939324544;wamo_WerkzTyp;nvarchar;100;YES
syncobj_0x3041393939324544;wamo_werkzeug_id;int;;YES
syncobj_0x3041393939324544;IDemisWerkzeugAmo;int;;NO
syncobj_0x3042444544373537;IdZentralesWerkzeug;int;;NO
syncobj_0x3042444544373537;IdGlobalZentralesWerkzeug;int;;NO
syncobj_0x3042444544373537;WerkzeugBasisNummer;nvarchar;255;NO
syncobj_0x3131383242303938;IdZentralesWerkzeug;int;;NO
syncobj_0x3131383242303938;IdGlobalZentralesWerkzeug;int;;NO
syncobj_0x3131383242303938;WerkzeugBasisNummer;nvarchar;255;NO
syncobj_0x3135424641453336;IdWerkzeugBlaskopf;int;;NO
syncobj_0x3135424641453336;IdWerkzeug;int;;NO
syncobj_0x3136333730393830;IdWerkzeug;int;;YES
syncobj_0x3136393642333231;Standort;int;;NO
syncobj_0x3142424333374436;ek_fert_lief_werk_id;int;;NO
syncobj_0x3143434234393846;IdMaschineWerkzeug;int;;NO
syncobj_0x3143434234393846;IdWerkzeug;int;;NO
