ServerName;DatabaseName;SQLServerVersion;QueryExecutedAt
----------;------------;----------------;---------------
AOVIA1VMS006;AlplaPROD_aovia3;Microsoft SQL Server 2022 (RTM-CU24) (KB5080999) - 16.0.4245.2 (X64) 
	Feb 25 2026 15:01:38 
	Copyright (C) 2022 Microsoft Corporation
	Standard Edition (64-bit) on Windows Server 2022 Standard 10.0 <X64> (Build 20348: ) (Hypervisor)
;2026-05-29 21:29:45.447

(1 rows affected)
SchemaName;SchemaId
----------;--------
AlplaAPP;5
AlplaREPORTBUDGET;6
db_accessadmin;16385
db_backupoperator;16389
db_datareader;16390
db_datawriter;16391
db_ddladmin;16387
db_denydatareader;16392
db_denydatawriter;16393
db_owner;16384
db_securityadmin;16386
dbo;1

(12 rows affected)
SchemaName;TableName;ApproxRowCount;CreatedDate;LastModifiedDate
dbo;T_BestellMengenGrenzen;0;2023-09-14 17:03:52.440;2026-05-20 12:09:05.363
dbo;T_Bestellpositionen;2507;2023-09-14 17:03:51.023;2026-05-20 12:09:05.510
dbo;T_BestellPositionenBewertungen;0;2023-09-14 17:03:52.890;2026-05-20 12:09:05.430
dbo;T_Bestellung;0;2023-09-14 17:03:54.820;2026-05-20 12:09:05.540
dbo;T_Bestellungen;2549;2023-09-14 17:03:51.017;2026-05-20 12:09:05.563
dbo;T_BestellungenJournal;2550;2023-09-14 17:03:53.453;2026-05-20 12:09:05.510
dbo;T_Bestellvorschlaege;0;2023-09-14 17:03:54.100;2026-05-20 12:09:05.657
dbo;T_Blaskopf;0;2023-09-14 17:03:49.227;2026-05-20 12:09:05.657
dbo;T_BlaskopfNummern;4534;2023-09-14 17:03:51.953;2026-05-20 12:09:05.613
dbo;T_BlockingDefects;498;2023-09-14 17:03:50.820;2026-05-20 12:09:05.653
dbo;T_BlockingDefectsGroups;36;2023-09-14 17:03:50.817;2026-05-20 12:09:05.670
dbo;T_BlockingOrders;0;2023-09-14 17:03:50.810;2026-05-20 12:09:05.777
