TABLE_SCHEMA;TABLE_NAME;COLUMN_NAME;DATA_TYPE;CHARACTER_MAXIMUM_LENGTH;IS_NULLABLE;ORDINAL_POSITION
------------;----------;-----------;---------;------------------------;-----------;----------------
dbo;syncobj_0x3030314334353644;IdBestellungJournal;int;NULL;NO;1
dbo;syncobj_0x3030314334353644;IdBestellung;int;NULL;NO;2
dbo;syncobj_0x3035433133443544;IdJournalBestellPosition;int;NULL;NO;1
dbo;syncobj_0x3035433133443544;BestellDatum;datetime;NULL;YES;5
dbo;syncobj_0x3035433133443544;BestellMenge;float;NULL;YES;19
dbo;syncobj_0x3035433133443544;BestellMengeVPK;float;NULL;YES;20
dbo;syncobj_0x3035433133443544;IdBestellVorschlag;int;NULL;YES;32
dbo;syncobj_0x3035433133443544;BestellVorschlagBez;nvarchar;50;YES;33
dbo;syncobj_0x3035433133443544;BestellVorschlagDatum;datetime;NULL;YES;34
dbo;syncobj_0x3035433133443544;BestellMengeTE;int;NULL;YES;51
dbo;syncobj_0x3035433133443544;BestellMengeHE;int;NULL;YES;52
dbo;syncobj_0x3038423039333641;Bestellnummer;nvarchar;50;YES;17
dbo;syncobj_0x3046364445393634;BestellDatum;datetime;NULL;NO;7
dbo;syncobj_0x3046364445393634;BestellNr;nvarchar;50;NO;9
dbo;syncobj_0x3131373646414639;IdRahmenBestellung;int;NULL;NO;1
dbo;syncobj_0x3131373646414639;RahmenBestellungNummer;nvarchar;50;NO;5
dbo;syncobj_0x3132344646303437;BestellMenge;float;NULL;YES;12
dbo;syncobj_0x3132344646303437;BestellMengeVPK;float;NULL;YES;13
dbo;syncobj_0x3132344646303437;IdVpkVorschriftBestellt;int;NULL;YES;40
dbo;syncobj_0x3132344646303437;VpkVorschriftBestelltBez;nvarchar;100;YES;41
dbo;syncobj_0x3132344646303437;IdHauptmaterialBestellt;int;NULL;YES;56
dbo;syncobj_0x3132344646303437;HauptmaterialBestelltBez;nvarchar;50;YES;57
dbo;syncobj_0x3132344646303437;AnzahlAVProVpkBestellt;int;NULL;YES;83
dbo;syncobj_0x3132344646303437;AnzahlAVProHEBestellt;int;NULL;YES;84
dbo;syncobj_0x3132344646303437;IdTransportEinheitBestellt;int;NULL;YES;85
dbo;syncobj_0x3132344646303437;TransportEinheitBestelltBez;nvarchar;100;YES;86
dbo;syncobj_0x3132344646303437;IdHandelsEinheitBestellt;int;NULL;YES;87
dbo;syncobj_0x3132344646303437;HandelsEinheitBestelltBez;nvarchar;100;YES;88
dbo;syncobj_0x3132344646303437;BestellMengeTE;int;NULL;YES;89
dbo;syncobj_0x3132344646303437;BestellMengeHE;int;NULL;YES;90
dbo;syncobj_0x3132344646303437;TransportEinheitBestelltTyp;int;NULL;YES;94
dbo;syncobj_0x3132344646303437;HandelsEinheitBestelltTyp;int;NULL;YES;95
dbo;syncobj_0x3134303942334432;BestellDatum;datetime;NULL;YES;10
dbo;syncobj_0x3134303942334432;IdJournalBestellPosition;int;NULL;YES;27
dbo;syncobj_0x3134303942334432;IdBestellung;int;NULL;YES;33
dbo;syncobj_0x3134303942334432;BestellungNummer;nvarchar;50;YES;34
dbo;syncobj_0x3134303942334432;BestellungDatum;datetime;NULL;YES;35
dbo;syncobj_0x3134303942334432;IdBestellungPosition;int;NULL;YES;50
dbo;syncobj_0x3134303942334432;ReferenzBestellungNummer;nvarchar;50;YES;51
dbo;syncobj_0x3134303942334432;ReferenzBestellungDatum;datetime;NULL;YES;52
dbo;syncobj_0x3134303942334432;ReferenzBestellungPosition;nvarchar;50;YES;69
dbo;syncobj_0x3134303942334432;IdBestellVorschlag;int;NULL;YES;80
dbo;syncobj_0x3134303942334432;BestellVorschlagBez;nvarchar;50;YES;81
dbo;syncobj_0x3134303942334432;BestellVorschlagDatum;datetime;NULL;YES;82
dbo;syncobj_0x3134303942334432;IdBestellVorschlagPosition;int;NULL;YES;83
dbo;syncobj_0x3134303942334432;BestellungPositionNr;int;NULL;YES;84
dbo;syncobj_0x3135463735303643;IdJournalBestellPosition;int;NULL;YES;33
dbo;syncobj_0x3135463735303643;IdBestellPosition;int;NULL;YES;34
dbo;syncobj_0x3135463735303643;IdBestellung;int;NULL;YES;35
dbo;syncobj_0x3135463735303643;BestellPositionStatus;int;NULL;YES;40
dbo;syncobj_0x3239374634463133;IdBestellung;int;NULL;NO;1
dbo;syncobj_0x3243434536343831;IdBestellMengenGrenzen;int;NULL;NO;1
dbo;syncobj_0x3243434536343831;MinimumBestellMenge;float;NULL;YES;4
dbo;syncobj_0x3243434536343831;MaximumBestellMenge;float;NULL;YES;5
dbo;syncobj_0x3243434536343831;MinimumBestellMengeVPK;float;NULL;YES;6
dbo;syncobj_0x3243434536343831;MaximumBestellMengeVPK;float;NULL;YES;7
dbo;syncobj_0x3332444133433638;Bestellnummer;nvarchar;50;YES;17
dbo;syncobj_0x3431354630464338;Bestellnummer;nvarchar;50;YES;14
dbo;syncobj_0x3439343041383546;IdBestellvorschlag;int;NULL;NO;1
dbo;syncobj_0x3439343041383546;IdBestellung;int;NULL;YES;2
dbo;syncobj_0x3439343041383546;BestellDatum;datetime;NULL;NO;5
dbo;syncobj_0x3439343041383546;BestellMenge;float;NULL;NO;7
dbo;syncobj_0x3439343041383546;BestellMengeVPK;float;NULL;NO;8
dbo;syncobj_0x3439343041383546;Bestellt;int;NULL;NO;19
dbo;syncobj_0x3439343041383546;IdRahmenbestellungPosition;int;NULL;NO;22
dbo;syncobj_0x3441314446414237;IdBestellVorschlag;int;NULL;YES;53
dbo;syncobj_0x3441314446414237;BestellVorschlagRevision;int;NULL;YES;54
dbo;syncobj_0x3545313542303438;BestellDatum;datetime;NULL;YES;16
dbo;syncobj_0x3545313542303438;BestellMenge;float;NULL;YES;17
dbo;syncobj_0x3545313542303438;BestellMengeVPK;float;NULL;YES;18
dbo;syncobj_0x3630323846443638;IdBestellungJournal;int;NULL;NO;1
dbo;syncobj_0x3630323846443638;IdBestellung;int;NULL;NO;2
dbo;syncobj_0x3632413838333036;BestellDatum;datetime;NULL;NO;7
dbo;syncobj_0x3632413838333036;BestellNr;nvarchar;50;NO;9
dbo;syncobj_0x3642334235333741;BestellDatum;datetime;NULL;YES;16
dbo;syncobj_0x3642334235333741;BestellMenge;float;NULL;YES;17
dbo;syncobj_0x3642334235333741;BestellMengeVPK;float;NULL;YES;18
