TableName;ApproxRowCount;ColumnCount
---------;--------------;-----------
T_EAIMandanten;0;54
T_Maschine_Werkzeug;6;9
T_PA_Werkzeug;60;9
T_PartnerWerke;0;7
T_tmpAmoWerkzeug;0;16
T_tmpBudget_eMis_WerkzeugAMO;0;21
T_tmpBudgetWerkzeugBedarf;0;10
T_tmpBudgetWerkzeugliste;0;6
T_Werke;536;36
T_Werkzeug;31;35
T_Werkzeug_Blaskopf;0;8
T_ZentraleWerkzeuge;18717;13

(12 rows affected)

TABLE_NAME;COLUMN_NAME;DATA_TYPE;CHARACTER_MAXIMUM_LENGTH;IS_NULLABLE
syncobj_0x3444444443363334;werk_id;int;;NO
syncobj_0x3530324445304136;IdWerkzeug;int;;YES
syncobj_0x3534354446454139;Standort;int;;NO
syncobj_0x3534354446454139;IdWerkzeug;int;;YES
syncobj_0x3534354446454139;WerkzeugKavitaet;int;;YES
syncobj_0x3537313234303945;IdWerkzeug;int;;YES
syncobj_0x3538343731383530;IdWerkzeug;int;;NO
syncobj_0x3538343731383530;WerkzeugKavität;int;;NO
syncobj_0x3538343731383530;PlanType;int;;NO
syncobj_0x3545374539363238;Standort;int;;NO
syncobj_0x3546353444444546;IdWerkzeug;int;;NO
syncobj_0x3632384246383034;IdWerkzeug;int;;NO
syncobj_0x3636353046333344;IdWerkzeug;int;;YES
syncobj_0x3639373345323031;IdPartnerWerk;int;;NO
syncobj_0x3642394644343336;IdWerkzeug;int;;YES
syncobj_0x3645463433323138;IdWerkzeug;int;;NO
syncobj_0x3645463433323138;WerkzeugKavität;int;;NO
syncobj_0x3645463433323138;PlanType;int;;NO
syncobj_0x3730303345453044;Standort;int;;NO
syncobj_0x3730353338393332;IdMaschineWerkzeug;int;;NO
syncobj_0x3730353338393332;IdWerkzeug;int;;NO
syncobj_0x3730423239344138;IdWerkzeug;int;;YES
syncobj_0x3731314337383742;GeplanteRundfahrtHaeufigkeit;float;;NO
syncobj_0x3741433443454535;GeplanteMenge;float;;YES
syncobj_0x3741433443454535;GeplanteMengeVPK;float;;YES
syncobj_0x3742303436303144;Standort;int;;NO
syncobj_0x3742303436303144;IdWerkzeug;int;;YES
syncobj_0x3742303436303144;WerkzeugKavitaet;int;;YES
syncobj_0x3742393532383542;stamm_werkzg_nr;nvarchar;100;YES
syncobj_0x3843303145343242;WerkKurzBez;nvarchar;10;YES
syncobj_0x3930434343304343;PlanTyp;int;;NO
syncobj_0x3931343145394335;GeplanteRundfahrtHaeufigkeit;float;;YES
syncobj_0x3931384337344437;GeplanteMenge;float;;YES
syncobj_0x3931384337344437;GeplanteMengeVPK;float;;YES
syncobj_0x3932384634333543;GeplanteRundfahrtHaeufigkeit;float;;NO
syncobj_0x3935304332443832;PlanType;int;;NO
syncobj_0x3944333638454541;IdWerkzeug;int;;YES
syncobj_0x3944393741364338;IdZentralesWerkzeug;int;;NO
syncobj_0x3944393741364338;IdGlobalZentralesWerkzeug;int;;NO
syncobj_0x3944393741364338;WerkzeugBasisNummer;nvarchar;255;NO
syncobj_0x4130423530433037;eReporting_IdWerk;int;;NO
syncobj_0x4130444131344146;IdMaschineWerkzeug;int;;NO
syncobj_0x4130444131344146;IdWerkzeug;int;;NO
syncobj_0x4133324542443337;IdWerk;int;;NO
syncobj_0x4133324542443337;werk_id;int;;NO
syncobj_0x4133324542443337;werk_name;nvarchar;70;NO
syncobj_0x4133324542443337;werk_country_id;nvarchar;50;NO
syncobj_0x4133324542443337;werk_mail;nvarchar;70;NO
syncobj_0x4133324542443337;werk_RepKennz;nvarchar;50;NO
syncobj_0x4133324542443337;werk_DINISOzert;nvarchar;50;NO
syncobj_0x4133324542443337;werk_curr_id;nvarchar;50;NO
syncobj_0x4133324542443337;werk_Firmennummer;nvarchar;70;NO
syncobj_0x4133324542443337;werk_incl_olap;int;;NO
syncobj_0x4133324542443337;werk_Firmennummer_soplar;nvarchar;70;NO
syncobj_0x4133324542443337;werk_server;nvarchar;100;NO
syncobj_0x4133324542443337;werk_db;nvarchar;100;NO
syncobj_0x4133324542443337;werk_shortcut;nvarchar;50;NO
syncobj_0x4133324542443337;werk_OrgRegion_id;int;;NO
syncobj_0x4133324542443337;werk_close_date;datetime;;YES
syncobj_0x4133324542443337;werk_ReplicationServer;nvarchar;100;NO
syncobj_0x4133324542443337;werk_LocationType;int;;NO
syncobj_0x4133324542443337;werk_company;int;;YES
syncobj_0x4133324542443337;werk_suffix;nvarchar;10;NO
syncobj_0x4133353332353939;Standort;nvarchar;100;YES
syncobj_0x4133444641433439;PlanTyp;int;;NO
syncobj_0x4141444142463831;IdWerkzeug;int;;NO
syncobj_0x4141444142463831;IdZentralesWerkzeug1;int;;YES
syncobj_0x4141444142463831;IdZentralesWerkzeug2;int;;YES
syncobj_0x4141444142463831;WerkzeugSatz;int;;YES
syncobj_0x4142433233343330;PlanType;int;;NO
syncobj_0x4144353535353931;VolumenGeplant;float;;YES
syncobj_0x4233393433364232;ek_fert_lief_werk_id;int;;NO
syncobj_0x4233463238314337;IdPartnerWerk;int;;NO
syncobj_0x4242444533463541;WerkzeugBez;nvarchar;100;YES
syncobj_0x4243444138414136;IdZentralesWerkzeug;int;;NO
syncobj_0x4243444138414136;IdGlobalZentralesWerkzeug;int;;NO
syncobj_0x4243444138414136;WerkzeugBasisNummer;nvarchar;255;NO
syncobj_0x4330383236323334;IdWerkzeug;int;;YES
syncobj_0x4332334432384230;werk_id;int;;NO
syncobj_0x4339353036454642;budget_werk_id;int;;YES
syncobj_0x4339353036454642;bpos_IDwerkzeug;int;;YES
syncobj_0x4339353036454642;bpos_werkzeug_bez;nvarchar;100;YES
syncobj_0x4342443439304236;BMaschTyp_Werk_id;int;;YES
syncobj_0x4344423642463244;ek_fert_lief_werk_id;int;;NO
syncobj_0x4345393235463732;GeplanteMenge;float;;YES
syncobj_0x4345393235463732;GeplanteMengeVPK;float;;YES
syncobj_0x4430383833464530;IdWerkzeugBlaskopf;int;;NO
syncobj_0x4430383833464530;IdWerkzeug;int;;NO
syncobj_0x4432424235373543;IdWerkzeug;int;;NO
syncobj_0x4432424235373543;WerkzeugKavität;int;;NO
syncobj_0x4432424235373543;PlanType;int;;NO
syncobj_0x4434363130364141;IdWerkzeug;int;;YES
syncobj_0x4437373243434633;IdWerkzeug;int;;NO
syncobj_0x4437373243434633;WerkzeugKavität;int;;NO
syncobj_0x4437373243434633;PlanType;int;;NO
syncobj_0x4439303146463741;IdWerkzeugBlaskopf;int;;NO
syncobj_0x4439303146463741;IdWerkzeug;int;;NO
syncobj_0x4443334639313431;IdWerkzeug;int;;YES
syncobj_0x4444394233444632;IdWerkzeug;int;;YES
syncobj_0x4444394233444632;Werkzeug_Bezeichnung;nvarchar;50;YES
syncobj_0x4444394233444632;Werkzeug_Kavitaet;int;;YES
syncobj_0x4444394233444632;Werkzeug_Stichmass;float;;YES
syncobj_0x4444394233444632;Werkzeug_Bemerkung;nvarchar;255;YES
syncobj_0x4444394233444632;Maschine_Standort;int;;YES
syncobj_0x4532324137374231;IdWerkzeug;int;;YES
syncobj_0x4533433743333646;eReporting_IdWerk;int;;YES
syncobj_0x4544374437444244;budget_werk_id;int;;YES
syncobj_0x4634464643323430;IdWerkzeug;int;;NO
syncobj_0x4634464643323430;IdZentralesWerkzeug1;int;;YES
syncobj_0x4634464643323430;IdZentralesWerkzeug2;int;;YES
syncobj_0x4634464643323430;WerkzeugSatz;int;;YES
syncobj_0x4636343635464137;Standort;int;;NO
syncobj_0x4643394144423446;GeplanteMenge;float;;YES
syncobj_0x4643394144423446;GeplanteMengeVPK;float;;YES
syncobj_0x4644443937313145;BMaschTyp_Werk_id;int;;YES
T_Adressen;WerkKurzBez;nvarchar;10;YES
T_AuftragsAbrufe;GeplanteMenge;float;;YES
T_AuftragsAbrufe;GeplanteMengeVPK;float;;YES
T_AuftragsAbrufeHistorie;GeplanteMenge;float;;YES
T_AuftragsAbrufeHistorie;GeplanteMengeVPK;float;;YES
T_BlaskopfNummern;werk_id;int;;NO
T_BudgetAbsatzplan;IdWerkzeug;int;;YES
T_EAIJournal;eReporting_IdWerk;int;;YES
T_EAIJournalAdresse;WerkKurzBez;nvarchar;10;YES
T_EAIJournalAmo;IdWerkzeug;int;;YES
T_EAIJournalEx;IdWerksAdresse;int;;YES
T_EAIJournalEx;WerkBez;nvarchar;100;YES
T_EAIJournalEx;WerkStrasse;nvarchar;50;YES
T_EAIJournalEx;WerkPLZ;nvarchar;50;YES
T_EAIJournalEx;WerkOrt;nvarchar;50;YES
T_EAIJournalEx;WerkStaat;nvarchar;50;YES
T_EAIJournalEx;WerkStaatPostKz;nvarchar;50;YES
T_EAIJournalEx;WerkDebitorenKonto;nvarchar;50;YES
T_EAIJournalEx;WerkUID;nvarchar;50;YES
T_EAIJournalEx;WerkTel;nvarchar;50;YES
T_EAIJournalEx;WerkFax;nvarchar;50;YES
T_EAIJournalEx;eReporting_IdWerk;int;;YES
T_EAIJournalEx;WerkAnsprechpartnerName;nvarchar;50;YES
T_EAIJournalEx;WerkAnsprechpartnerVorname;nvarchar;50;YES
T_EAIJournalEx;WerkAnsprechpartnerTel;nvarchar;50;YES
T_EAIJournalEx;WerkAnsprechpartnerFax;nvarchar;50;YES
T_EAIJournalEx;WerkAnsprechpartnerEmail;nvarchar;50;YES
T_EAIJournalEx;WerkAnsprechpartnerPos;nvarchar;50;YES
T_EAIMandanten;eReporting_IdWerk;int;;NO
T_EDIDokumente;Werk;nchar;10;NO
T_EtikettenDefault;IdWerkzeug;int;;YES
T_EtikettenDruckJobs;IdWerkzeug;int;;YES
T_EtikettenDruckJobs;Werkzeug_Bezeichnung;nvarchar;50;YES
T_EtikettenDruckJobs;Werkzeug_Kavitaet;int;;YES
T_EtikettenDruckJobs;Werkzeug_Stichmass;float;;YES
T_EtikettenDruckJobs;Werkzeug_Bemerkung;nvarchar;255;YES
T_EtikettenDruckJobs;Maschine_Standort;int;;YES
T_EtikettenGedruckt;IdWerkzeug;int;;YES
T_EtikettenVerworfen;IdWerkzeug;int;;YES
T_ExportLagerBestand;Standort;int;;NO
T_FuellLinien;Standort;int;;NO
T_GravurNummern;stamm_werkzg_nr;nvarchar;100;YES
T_HistoryVK;GeplanteRundfahrtHaeufigkeit;float;;YES
T_HistoryVKImport;GeplanteRundfahrtHaeufigkeit;float;;NO
T_LadeAuftraege;VolumenGeplant;float;;YES
T_Lieferkonditionen;Standort;nvarchar;100;YES
T_Maschine;Standort;int;;NO
T_Maschine_Werkzeug;IdMaschineWerkzeug;int;;NO
T_Maschine_Werkzeug;IdWerkzeug;int;;NO
T_Maschinen_ProdPlanungen;IdWerkzeug;int;;YES
T_MaterialBedarf;PlanTyp;int;;NO
T_MaterialProdPlanungenJeProdTag;PlanType;int;;NO
T_PA_Werkzeug;IdPA_Werkzeug;int;;NO
T_PA_Werkzeug;IdWerkzeug;int;;NO
T_PA_Werkzeug;StandardWerkzeug;bit;;YES
T_PartnerWerke;IdPartnerWerk;int;;NO
T_ProdDaten;IdWerkzeug;int;;YES
T_ProdDaten_Archiv;IdWerkzeug;int;;YES
T_ProdPlanung;IdWerkzeug;int;;NO
T_ProdPlanung;WerkzeugKavität;int;;NO
T_ProdPlanung;PlanType;int;;NO
T_ProdPlanungHistory;IdWerkzeug;int;;NO
T_ProdPlanungHistory;WerkzeugKavität;int;;NO
T_ProdPlanungHistory;PlanType;int;;NO
T_Produktionslose;Standort;int;;NO
T_Produktionslose;IdWerkzeug;int;;YES
T_Produktionslose;WerkzeugKavitaet;int;;YES
T_ProduktionsRueckmeldungen;IdWerkzeug;int;;NO
T_tmpAmoWerkzeug;IdWerkzeug;int;;NO
T_tmpBudget_eMis_Maschinentypen;BMaschTyp_Werk_id;int;;YES
T_tmpBudget_eMis_Positionen;budget_werk_id;int;;YES
T_tmpBudget_eMis_Positionen;bpos_IDwerkzeug;int;;YES
T_tmpBudget_eMis_Positionen;bpos_werkzeug_bez;nvarchar;100;YES
T_tmpBudget_eMis_Summen;budget_werk_id;int;;YES
T_tmpBudget_eMis_WerkzeugAMO;budget_werk_id;int;;YES
T_tmpBudget_eMis_WerkzeugAMO;wamo_WerkzTyp;nvarchar;100;YES
T_tmpBudget_eMis_WerkzeugAMO;wamo_werkzeug_id;int;;YES
T_tmpBudget_eMis_WerkzeugAMO;IDemisWerkzeugAmo;int;;NO
T_tmpBudgetAbsatzplanBlaskopf;WerkzeugBez;nvarchar;100;YES
T_tmpBudgetAbsatzplanDaten;IdWerkzeug;int;;YES
T_tmpBudgetAbsatzplanSelect;IdWerkzeug;int;;YES
T_tmpBudgetAbsatzplanUebersicht;IdWerkzeug;int;;YES
T_tmpBudgetAmo;IdWerkzeug;int;;YES
T_tmpBudgetAmo;BezWerkzeug;nvarchar;150;YES
T_tmpBudgetASP;IdWerkzeug;int;;YES
T_tmpBudgetParameter;AnzahlWerkzeuge;int;;YES
T_tmpBudgetParameter;BezWerkzeuge;nvarchar;150;YES
T_tmpBudgetPETSpritzereiWKZ;IdWerkzeug;int;;YES
T_tmpBudgetPlanquote;IdWerkzeug;int;;YES
T_tmpBudgetSkontoBonus;IdWerkzeug;int;;YES
T_tmpBudgetWerkzeugBedarf;IdWerkzeug;int;;YES
T_tmpBudgetWerkzeugliste;IdWerkzeug;int;;YES
T_tmpBudgetWerkzeugliste;BezWerkzeug;nvarchar;150;YES
T_tmpEMIS_MD_Ressourcen;IDress_werk;int;;YES
T_TmpPDDruckerei;IdWerkzeug;int;;YES
T_TmpProdInformation;Standort;int;;YES
T_tmpProdTagParameter;Werksauslastung;float;;YES
T_WarenLager;Standort;int;;YES
T_Werke;IdWerk;int;;NO
T_Werke;werk_id;int;;NO
T_Werke;werk_name;nvarchar;70;NO
T_Werke;werk_country_id;nvarchar;50;NO
T_Werke;werk_mail;nvarchar;70;NO
T_Werke;werk_RepKennz;nvarchar;50;NO
T_Werke;werk_DINISOzert;nvarchar;50;NO
T_Werke;werk_curr_id;nvarchar;50;NO
T_Werke;werk_Firmennummer;nvarchar;70;NO
T_Werke;werk_incl_olap;int;;NO
T_Werke;werk_Firmennummer_soplar;nvarchar;70;NO
T_Werke;werk_server;nvarchar;100;NO
T_Werke;werk_db;nvarchar;100;NO
T_Werke;werk_shortcut;nvarchar;50;NO
T_Werke;werk_OrgRegion_id;int;;NO
T_Werke;werk_close_date;datetime;;YES
T_Werke;werk_ReplicationServer;nvarchar;100;NO
T_Werke;werk_LocationType;int;;NO
T_Werke;werk_company;int;;YES
T_Werke;werk_suffix;nvarchar;10;NO
T_Werkzeug;IdWerkzeug;int;;NO
T_Werkzeug;IdZentralesWerkzeug1;int;;YES
T_Werkzeug;IdZentralesWerkzeug2;int;;YES
T_Werkzeug;WerkzeugSatz;int;;YES
T_Werkzeug_Blaskopf;IdWerkzeugBlaskopf;int;;NO
T_Werkzeug_Blaskopf;IdWerkzeug;int;;NO
T_ZentraleFertigungsmittel;ek_fert_lief_werk_id;int;;NO
T_ZentraleWerkzeuge;IdZentralesWerkzeug;int;;NO
T_ZentraleWerkzeuge;IdGlobalZentralesWerkzeug;int;;NO
T_ZentraleWerkzeuge;WerkzeugBasisNummer;nvarchar;255;NO
V_AbfallLagerBuchungen;MaschineStandort;int;;NO
V_ADGruppe_Werk_CENTRAL;IdAdGruppe_MD_plants;int;;NO
V_ADGruppe_Werk_CENTRAL;werk_id;int;;YES
V_Adressen;WerkKurzBez;nvarchar;10;YES
V_Adressen_BASIS;WerkKurzBez;nvarchar;10;YES
V_Adressen_CENTRAL;IdWerk;int;;NO
V_AdressenKomplett;WerkKurzBez;nvarchar;10;YES
V_AppOcpClient;Standort;int;;YES
V_ArtikelWerkzeuge;IdWerkzeug;int;;NO
V_ArtikelWerkzeuge;IdZentralesWerkzeug1;int;;YES
V_ArtikelWerkzeuge;IdZentralesWerkzeug2;int;;YES
V_ArtikelWerkzeuge;WerkzeugSatz;int;;YES
V_ASMAdressen_CENTRAL;IdWerk;int;;NO
V_ASMProdArtikel_CENTRAL;IdWerk;int;;NO
V_AuftragsAbrufe;GeplanteMenge;float;;YES
V_AuftragsAbrufe;GeplanteMengeVPK;float;;YES
V_AuftragsAbrufeHistorie;GeplanteMenge;float;;YES
V_AuftragsAbrufeHistorie;GeplanteMengeVPK;float;;YES
V_AuftragsAbrufeUebersicht;GeplanteMenge;float;;YES
V_AuftragsAbrufeUebersicht;GeplanteMengeVPK;float;;YES
V_AuslagerungsPositionen;GeplanteMengeVPKSum;float;;NO
V_AuslagerungsPositionen;GeplanteMengeSum;float;;NO
V_AuslagerungsPositionen;IdWerkzeug;int;;NO
V_AuslagerungsPositionenBarcodes;GeplanteMengeVPKSum;float;;NO
V_AuslagerungsPositionenBarcodes;GeplanteMengeSum;float;;NO
V_AuslagerungsPositionenBarcodes;IdWerkzeug;int;;NO
V_Bereitstellungsplan;Standort;int;;NO
V_Blaskopf_CENTRAL;IdeReporting_WerkId;int;;NO
V_BlaskopfNummern;werk_id;int;;NO
V_BlaskopfNummern_BASIS;werk_id;int;;NO
V_BlaskopfNummern_CENTRAL;werk_id;int;;NO
V_BlockedItemsOfActiveReworkTasks;IdWerkzeug;int;;YES
V_EAIJournalPositionSummary;eReporting_IdWerk;int;;YES
V_EDIDokumente;Werk;nchar;10;NO
V_EDIDokumentPositionen;Werk;nchar;10;YES
V_EDIDokumentPositionen_ORDER;Werk;nchar;10;YES
V_EDIPositionDetails;Werk;nchar;10;YES
V_EingesetzteRessourcen;Standort;int;;NO
V_EinlagerungsPositionen;GeplanteMengeVPKSum;float;;NO
V_EinlagerungsPositionen;GeplanteMengeSum;float;;NO
V_eMIS_EAIJournalPositionSummary;eReporting_IdWerk_eMIS;int;;YES
V_EtikettenGedruckt;IdWerkzeug;int;;YES
V_EtikettenGedrucktSuche;MaschinenStandort;int;;NO
V_EtikettenVerworfen;IdWerkzeug;int;;YES
V_EurologLagerbestand_CENTRAL;IdWerk;int;;NO
V_ExportAktuellerLagerBestand;Standort;int;;YES
V_FuellLinien;Standort;int;;NO
V_FuellLinien_BASIS;Standort;int;;NO
V_FuellLinienArtikelvariantenWerkzeuge_PLANNING;StandardWerkzeug;bit;;YES
V_FuellLinienArtikelvariantenWerkzeuge_PLANNING;IdWerkzeug;int;;YES
V_FuellLinienArtikelvariantenWerkzeuge_PLANNING;WerkzeugBez;nvarchar;50;YES
V_FuellLinienArtikelvariantenWerkzeuge_PLANNING;WerkzeugZyklus;float;;YES
V_FuellLinienArtikelvariantenWerkzeuge_PLANNING;IdWerkzeugProdBereich;int;;YES
V_FuellLinienArtikelvariantenWerkzeuge_PLANNING;WerkzeugAktiv;bit;;YES
V_FuellLinienMaschinenSetupTypen_PLANNING;MaschinenStandort;int;;NO
V_FuellLinienMaschinenSetupTypen_PLANNING;MaschinenStandortBezeichnung;nvarchar;81;YES
V_FuellLoseProdPlanung_PLANNING;IdWerkzeug;int;;NO
