ServerName;DatabaseName;SQLServerVersion;QueryExecutedAt
----------;------------;----------------;---------------
AOVIA1VMS006;AlplaPROD_aovia1;Microsoft SQL Server 2022 (RTM-CU24) (KB5080999) - 16.0.4245.2 (X64) 
	Feb 25 2026 15:01:38 
	Copyright (C) 2022 Microsoft Corporation
	Standard Edition (64-bit) on Windows Server 2022 Standard 10.0 <X64> (Build 20348: ) (Hypervisor)
;2026-05-29 21:28:15.660

(1 rows affected)
SchemaName;SchemaId
----------;--------
AlplaAPP;5
AlplaREPORTBUDGET;6
db_accessadmin;16385
db_backupoperator;16389
db_datareader;16390
db_datawriter;16391
db_ddladmin;16387
db_denydatareader;16392
db_denydatawriter;16393
db_owner;16384
db_securityadmin;16386
dbo;1

(12 rows affected)
SchemaName;TableName;ApproxRowCount;CreatedDate;LastModifiedDate
----------;---------;--------------;-----------;----------------
AlplaAPP;T_AppBenutzerRechte;0;2018-09-27 14:20:02.510;2026-05-20 11:44:09.757
AlplaAPP;T_AppHygieneStatus;0;2018-09-27 14:19:59.487;2026-05-20 11:44:09.787
AlplaAPP;T_AppOcpDrucker;0;2018-09-27 14:20:00.113;2026-05-20 11:44:09.837
AlplaAPP;T_AppOcpLogPrinted;0;2018-09-27 14:20:03.417;2026-05-20 11:44:09.843
AlplaAPP;T_AppRechte;4;2018-09-27 14:20:02.347;2026-05-20 11:44:09.873
AlplaAPP;T_AppStaplerAufgaben;0;2018-09-27 14:20:00.837;2026-05-20 11:44:09.910
AlplaAPP;T_AppStaplerEingaenge;0;2018-09-27 14:20:00.450;2026-05-20 11:44:09.933
AlplaAPP;T_AppStaplerInventuren;0;2018-09-27 14:20:00.830;2026-05-20 11:44:09.963
AlplaAPP;T_AppStaplerPlanungen;0;2018-09-27 14:20:00.840;2026-05-20 11:44:09.997
AlplaAPP;T_AppThemen;1;2018-09-27 14:20:02.357;2026-05-20 11:44:10.010
dbo;__MigrationHistory;0;2018-09-27 14:20:03.620;2026-05-20 07:43:31.907
dbo;T_AbfallAttribute;78;2018-09-27 14:20:02.590;2026-05-20 11:44:09.207
dbo;T_AbfallHerkuenfte;14;2018-09-27 14:19:59.287;2026-05-20 11:44:09.240
