TableName;ApproxRowCount;CreatedDate;ColumnCount
---------;--------------;-----------;-----------
T_EDIDifferenzen;0;2023-09-14 17:03:53.800;9
T_EDIDokumente;3653;2023-09-14 17:03:52.267;23
T_EDIDokumentPositionen;4007;2023-09-14 17:03:52.260;25
T_EDIKonfigurationen;6;2023-09-14 17:03:51.373;9
T_EDIPositionDetails;58119;2023-09-14 17:03:52.850;12
T_EDIRouting;6;2023-09-14 17:03:51.367;11
T_EDIUpload;2625;2023-09-14 17:03:53.090;11

(7 rows affected)
TableName;ApproxRowCount;CreatedDate;ColumnCount
---------;--------------;-----------;-----------
T_BestellungenJournal;2550;2023-09-14 17:03:53.453;8
T_EAIJournal;6577;2023-09-14 17:03:51.157;59
T_EAIJournalAdresse;26308;2023-09-14 17:03:51.257;53
T_EAIJournalAmo;0;2023-09-14 17:03:54.887;13
T_EAIJournalBeleg;0;2023-09-14 17:03:54.893;7
T_EAIJournalBestellPosition;2929;2023-09-14 17:03:51.527;56
T_EAIJournalEx;0;2023-09-14 17:03:54.900;104
T_EAIJournalLayout;0;2023-09-14 17:03:53.287;13
T_EAIJournalLeistungsPosition;0;2023-09-14 17:03:51.517;33
T_EAIJournalLeistungsVorlageZuordnung;0;2023-09-14 17:03:52.880;9
T_EAIJournalLieferPosition;0;2023-09-14 17:03:51.250;18
T_EAIJournalPosition;8452;2023-09-14 17:03:51.237;91
T_EAIJournalSynch;9416;2023-09-14 17:03:53.103;14
T_EAIJournalText;0;2023-09-14 17:03:52.093;17
T_EAIJournalTextPosition;0;2023-09-14 17:03:54.907;13
T_EAIJournalTextVorlageZuordnung;0;2023-09-14 17:03:52.950;11
T_EAIJournalWarenPosition;8452;2023-09-14 17:03:51.207;99
T_SperrJournal;0;2023-09-14 17:03:50.850;19

(18 rows affected)
TableName;ApproxRowCount;CreatedDate;ColumnCount
---------;--------------;-----------;-----------
T_AxIncasTransferQueueEntry;0;2023-09-14 17:03:52.787;13
T_AxTransferQueueEntry;0;2023-09-14 17:03:54.657;12
T_ExportInventurAbweichungen;0;2023-09-14 17:03:54.933;10
T_ExportLagerBestand;0;2023-09-14 17:03:54.940;12
T_ExportLagerDauer;0;2023-09-14 17:03:54.943;11
T_ExportPalettenBewegungenLager;0;2023-09-14 17:03:54.957;7
T_ExportPalettenBewegungenLKW;0;2023-09-14 17:03:54.950;7
T_ExportPalettenBewegungenProduktion;0;2023-09-14 17:03:54.960;7
T_ExportSchnittstellen;1;2023-09-14 17:03:54.967;10
T_ExportVerpackungskosten;0;2023-09-14 17:03:54.977;8
T_ExportVerpackungsVerhaeltnisse;0;2023-09-14 17:03:54.970;9
T_HistoryEKImport;0;2023-09-14 17:03:51.830;13
T_HistoryVKImport;0;2023-09-14 17:03:53.807;23
T_QueueExterneOperationen;0;2023-09-14 17:03:55.140;18
T_QueueLagerOperationen;0;2023-09-14 17:03:55.147;14
T_TransferQueue;0;2025-10-20 08:30:00.050;7

(16 rows affected)
TableName;ApproxRowCount;CreatedDate;ColumnCount
---------;--------------;-----------;-----------
T_EAIJournalBeleg;0;2023-09-14 17:03:54.893;7
T_EDIDokumente;3653;2023-09-14 17:03:52.267;23
T_EDIDokumentPositionen;4007;2023-09-14 17:03:52.260;25

(3 rows affected)
TABLE_NAME;COLUMN_NAME;DATA_TYPE;CHARACTER_MAXIMUM_LENGTH;IS_NULLABLE
----------;-----------;---------;------------------------;-----------
syncobj_0x3038333046453437;IdSpediteurAdresse;int;NULL;NO
syncobj_0x3039303644304641;IdSpediteur;int;NULL;YES
syncobj_0x3045433141433846;IdEDIDokumentPosition;int;NULL;YES
syncobj_0x3045433141433846;EdiImportStatus;int;NULL;YES
syncobj_0x3045433141433846;EdiImportPlausiKategorie;int;NULL;YES
syncobj_0x3045433141433846;EdiImportPlausi;int;NULL;YES
syncobj_0x3045433141433846;EdiAbrufMenge;float;NULL;YES
syncobj_0x3045433141433846;EdiAbrufMengeVPK;float;NULL;YES
syncobj_0x3045433141433846;EdiAbrufLiefertermin;datetime;NULL;YES
syncobj_0x3045433141433846;EdiAbrufLadeDatum;datetime;NULL;YES
syncobj_0x3045433141433846;EdiAbrufDatum;datetime;NULL;YES
syncobj_0x3045433141433846;EdiIdVpkVorschrift;int;NULL;YES
syncobj_0x3132373642344433;IdSpediteur;int;NULL;NO
syncobj_0x3137324643413839;IdEDIKonfiguration;int;NULL;NO
syncobj_0x3137324643413839;EDITyp;int;NULL;NO
syncobj_0x3137324643413839;EDIRichtung;int;NULL;NO
syncobj_0x3145314431423431;IdSpediteur;int;NULL;YES
syncobj_0x3145314431423431;SpediteurBez;nvarchar;100;YES
syncobj_0x3145453536333938;IdEDIDokumentPosition;int;NULL;YES
syncobj_0x3235343336373536;IdEDIDokumentPosition;int;NULL;YES
syncobj_0x3235343336373536;EdiImportStatus;int;NULL;YES
syncobj_0x3235343336373536;EdiImportPlausiKategorie;int;NULL;YES
syncobj_0x3235343336373536;EdiImportPlausi;int;NULL;YES
syncobj_0x3235343336373536;EdiAbrufMenge;float;NULL;YES
syncobj_0x3235343336373536;EdiAbrufMengeVPK;float;NULL;YES
syncobj_0x3235343336373536;EdiAbrufLiefertermin;datetime;NULL;YES
syncobj_0x3235343336373536;EdiImportAkzeptanz;int;NULL;YES
syncobj_0x3235343336373536;EdiIdVpkVorschrift;int;NULL;YES
syncobj_0x3236433930464332;IdEDIDokumentPosition;int;NULL;YES
syncobj_0x3332414633334634;IdEDIPositionDetail;int;NULL;NO
syncobj_0x3332414633334634;IdEDIDokumentPosition;int;NULL;NO
syncobj_0x3334383039393936;BlockedItemState;int;NULL;NO
syncobj_0x3339433839374534;IdEDIDifferenz;int;NULL;NO
syncobj_0x3341374132413934;IdEDIKonfiguration;int;NULL;NO
syncobj_0x3436353031323034;ProduzierteMengeEditierbar;int;NULL;YES
syncobj_0x3442353033423546;IdEDIKonfiguration;int;NULL;YES
syncobj_0x3443413230423730;IdSpediteur;int;NULL;NO
syncobj_0x3444424534394532;IdEDIDifferenz;int;NULL;NO
syncobj_0x3530364331444544;IdSpediteur;int;NULL;NO
syncobj_0x3532393130433842;EdiImportStatus;int;NULL;YES
syncobj_0x3532393130433842;EdiImportPlausi;int;NULL;YES
syncobj_0x3532393130433842;EdiImportPlausiKategorie;int;NULL;YES
syncobj_0x3532393130433842;EdiPositionsMenge;float;NULL;YES
syncobj_0x3532393130433842;EdiPositionsMengeVPK;float;NULL;YES
syncobj_0x3532393130433842;EdiPositionsLiefertermin;datetime;NULL;YES
syncobj_0x3539384435433746;IdEDIUpload;int;NULL;NO
syncobj_0x3539384435433746;IdEDIKonfiguration;int;NULL;NO
syncobj_0x3543383145383446;IdSpediteur;int;NULL;YES
