TableName;ApproxRowCount;ColumnCount
---------;--------------;-----------
T_AuftragsAbrufe;IdKundenAdresse;6;int;NULL;10;0;YES
T_AuftragsAbrufe;IdLieferAdresse;7;int;NULL;10;0;YES
T_AuftragsAbrufe;IdRechnungsAdresse;8;int;NULL;10;0;YES
T_AuftragsAbrufe;IdVpkVorschrift;9;int;NULL;10;0;YES
T_AuftragsAbrufe;IdHauptmaterial;10;int;NULL;10;0;YES
T_AuftragsAbrufe;IdProdAuftrag;11;int;NULL;10;0;YES
T_AuftragsAbrufe;AbrufNummer;12;nvarchar;50;NULL;NULL;YES
T_AuftragsAbrufe;AbrufDatum;13;datetime;NULL;NULL;NULL;YES
T_AuftragsAbrufe;AbrufMenge;14;float;NULL;53;NULL;YES
T_AuftragsAbrufe;AbrufMengeVPK;15;float;NULL;53;NULL;YES
T_AuftragsAbrufe;AbrufLiefertermin;16;datetime;NULL;NULL;NULL;YES
T_AuftragsAbrufe;AbrufAbdeckung;17;float;NULL;53;NULL;YES
T_AuftragsAbrufe;AbrufStatus;18;int;NULL;10;0;YES
T_AuftragsAbrufe;AbrufLieferStatus;19;int;NULL;10;0;YES
T_AuftragsAbrufe;AbrufBemerkung;20;nvarchar;250;NULL;NULL;YES
T_AuftragsAbrufe;GeplanteMenge;21;float;NULL;53;NULL;YES
T_AuftragsAbrufe;GeplanteMengeVPK;22;float;NULL;53;NULL;YES
T_AuftragsAbrufe;GelieferteMenge;23;float;NULL;53;NULL;YES
T_AuftragsAbrufe;GelieferteMengeVPK;24;float;NULL;53;NULL;YES
T_AuftragsAbrufe;LetztesLieferDatum;25;datetime;NULL;NULL;NULL;YES
T_AuftragsAbrufe;Add_User;26;nvarchar;50;NULL;NULL;YES
T_AuftragsAbrufe;Add_Date;27;datetime;NULL;NULL;NULL;YES
T_AuftragsAbrufe;Upd_User;28;nvarchar;50;NULL;NULL;YES
T_AuftragsAbrufe;Upd_Date;29;datetime;NULL;NULL;NULL;YES
T_AuftragsAbrufe;PreisGueltigAb;30;int;NULL;10;0;YES
T_AuftragsAbrufe;ToleranzTyp;31;int;NULL;10;0;YES
