TableName;ApproxRowCount;ColumnCount
---------;--------------;-----------
T_Wareneingaenge;2497;42
T_WareneingangAuftraege;3655;24
T_WareneingangBewertungen;3904;9
T_WareneingangPlanungen;3965;34
T_WareneingangPositionen;58038;13

(5 rows affected)
TableName;ApproxRowCount;ColumnCount
---------;--------------;-----------
T_WareneingangAuftraege;ExtLieferscheinNummer;23;nvarchar;50;NULL;NULL;NO
T_WareneingangAuftraege;ExtLieferscheinDatum;24;datetime;NULL;NULL;NULL;NO
T_WareneingangBewertungen;IdWareneingangBewertung;1;int;NULL;10;0;NO
T_WareneingangBewertungen;IdWareneingangPlanung;2;int;NULL;10;0;NO
T_WareneingangBewertungen;Add_User;3;nvarchar;50;NULL;NULL;NO
T_WareneingangBewertungen;Add_Date;4;datetime;NULL;NULL;NULL;NO
T_WareneingangBewertungen;Upd_User;5;nvarchar;50;NULL;NULL;YES
T_WareneingangBewertungen;Upd_Date;6;datetime;NULL;NULL;NULL;NO
T_WareneingangBewertungen;MaterialQualitaet;7;int;NULL;10;0;NO
T_WareneingangBewertungen;VerpackungsQualitaet;8;int;NULL;10;0;NO
T_WareneingangBewertungen;AxExportiert;9;int;NULL;10;0;YES
T_WareneingangPlanungen;IdWareneingangPlanung;1;int;NULL;10;0;NO
T_WareneingangPlanungen;IdWareneingangAuftrag;2;int;NULL;10;0;NO
T_WareneingangPlanungen;Typ;3;int;NULL;10;0;NO
T_WareneingangPlanungen;Reihenfolge;4;int;NULL;10;0;NO
T_WareneingangPlanungen;IdJournal;5;int;NULL;10;0;NO
T_WareneingangPlanungen;IdJournalPosition;6;int;NULL;10;0;NO
T_WareneingangPlanungen;IdJournalWarenPosition;7;int;NULL;10;0;NO
T_WareneingangPlanungen;IdRetourware;8;int;NULL;10;0;NO
T_WareneingangPlanungen;IdVPKRuecknahme;9;int;NULL;10;0;NO
T_WareneingangPlanungen;Menge;10;float;NULL;53;NULL;NO
T_WareneingangPlanungen;MengeVPK;11;float;NULL;53;NULL;NO
T_WareneingangPlanungen;NOKMenge;12;float;NULL;53;NULL;NO
T_WareneingangPlanungen;NOKMengeVPK;13;float;NULL;53;NULL;NO
T_WareneingangPlanungen;IdKonto;14;int;NULL;10;0;NO
T_WareneingangPlanungen;IdLagerAbteilung;15;int;NULL;10;0;NO
T_WareneingangPlanungen;Status;16;int;NULL;10;0;NO
T_WareneingangPlanungen;Bemerkung;17;nvarchar;500;NULL;NULL;YES
T_WareneingangPlanungen;IdLieferschein;18;int;NULL;10;0;NO
T_WareneingangPlanungen;IdLieferscheinPosition;19;int;NULL;10;0;NO
T_WareneingangPlanungen;Add_User;20;nvarchar;50;NULL;NULL;NO
T_WareneingangPlanungen;Add_Date;21;datetime;NULL;NULL;NULL;NO
T_WareneingangPlanungen;Upd_User;22;nvarchar;50;NULL;NULL;YES
T_WareneingangPlanungen;Upd_Date;23;datetime;NULL;NULL;NULL;YES
T_WareneingangPlanungen;IdUmlagerung;24;int;NULL;10;0;YES
T_WareneingangPlanungen;Beleg;25;nvarchar;50;NULL;NULL;YES
T_WareneingangPlanungen;IdLadePlanung;26;int;NULL;10;0;YES
T_WareneingangPlanungen;IdWareneingang;27;int;NULL;10;0;YES
T_WareneingangPlanungen;KontoToleranz;28;int;NULL;10;0;YES
T_WareneingangPlanungen;LadeToleranz;29;int;NULL;10;0;YES
T_WareneingangPlanungen;IdEDIDokumentPosition;30;int;NULL;10;0;YES
T_WareneingangPlanungen;LadeStatus;31;int;NULL;10;0;YES
T_WareneingangPlanungen;EntladeMenge;32;float;NULL;53;NULL;YES
T_WareneingangPlanungen;EntladeMengeVPK;33;float;NULL;53;NULL;YES
T_WareneingangPlanungen;Bestrahlungsnummer;34;nvarchar;50;NULL;NULL;YES
T_WareneingangPositionen;IdWareneingangPosition;1;int;NULL;10;0;NO
T_WareneingangPositionen;IdWareneingangPlanung;2;int;NULL;10;0;NO
T_WareneingangPositionen;IdKonto;3;int;NULL;10;0;NO
T_WareneingangPositionen;Menge;4;float;NULL;53;NULL;NO
T_WareneingangPositionen;MengeVPK;5;float;NULL;53;NULL;NO
T_WareneingangPositionen;Barcode;6;nvarchar;50;NULL;NULL;NO
T_WareneingangPositionen;Beleg;7;nvarchar;50;NULL;NULL;NO
T_WareneingangPositionen;Add_User;8;nvarchar;50;NULL;NULL;NO
T_WareneingangPositionen;Add_Date;9;datetime;NULL;NULL;NULL;NO
T_WareneingangPositionen;Upd_User;10;nvarchar;50;NULL;NULL;YES
T_WareneingangPositionen;Upd_Date;11;datetime;NULL;NULL;NULL;YES
T_WareneingangPositionen;LfdNrIntern;12;int;NULL;10;0;YES
T_WareneingangPositionen;LfdNrExtern;13;int;NULL;10;0;YES

(122 rows affected)
