TABLE_SCHEMA;TABLE_NAME;COLUMN_NAME;DATA_TYPE;CHARACTER_MAXIMUM_LENGTH;IS_NULLABLE;ORDINAL_POSITION
dbo;syncobj_0x3635394142434538;ReferenzBestellungPosition;nvarchar;50;YES;69
dbo;syncobj_0x3635394142434538;IdBestellVorschlag;int;NULL;YES;80
dbo;syncobj_0x3635394142434538;BestellVorschlagBez;nvarchar;50;YES;81
dbo;syncobj_0x3635394142434538;BestellVorschlagDatum;datetime;NULL;YES;82
dbo;syncobj_0x3635394142434538;IdBestellVorschlagPosition;int;NULL;YES;83
dbo;syncobj_0x3635394142434538;BestellungPositionNr;int;NULL;YES;84
dbo;syncobj_0x3645414535324246;Bestellnummer;nvarchar;50;YES;14
dbo;syncobj_0x3738354532383330;Bestellnummer;nvarchar;50;YES;19
dbo;syncobj_0x3830423441374541;IdRahmenBestellungPosition;int;NULL;NO;1
dbo;syncobj_0x3830423441374541;IdRahmenBestellung;int;NULL;NO;2
dbo;syncobj_0x3839344430343033;BestellDatum;datetime;NULL;NO;7
dbo;syncobj_0x3839344430343033;BestellNr;nvarchar;50;NO;9
dbo;syncobj_0x3841384642363741;Bestellnummer;nvarchar;50;YES;21
dbo;syncobj_0x3842373233383843;IdBestellung;int;NULL;NO;1
dbo;syncobj_0x3842414339303836;IdJournalBestellPosition;int;NULL;YES;33
dbo;syncobj_0x3842414339303836;IdBestellPosition;int;NULL;YES;34
dbo;syncobj_0x3842414339303836;IdBestellung;int;NULL;YES;35
dbo;syncobj_0x3842414339303836;BestellPositionStatus;int;NULL;YES;40
dbo;syncobj_0x3937433534364635;IdBestellung;int;NULL;NO;1
dbo;syncobj_0x3937433534364635;BestellDatum;datetime;NULL;NO;4
dbo;syncobj_0x3937433534364635;BestellMenge;float;NULL;NO;6
dbo;syncobj_0x3937433534364635;Bestellt;int;NULL;YES;19
dbo;syncobj_0x3937433534364635;IdRahmenBestellungPosition;int;NULL;YES;22
dbo;syncobj_0x4132393243314439;BestellDatum;datetime;NULL;YES;16
dbo;syncobj_0x4132393243314439;BestellMenge;float;NULL;YES;17
dbo;syncobj_0x4132393243314439;BestellMengeVPK;float;NULL;YES;18
dbo;syncobj_0x4239374135324443;Bestellnummer;nvarchar;50;YES;18
dbo;syncobj_0x4242323630453637;Bestellnummer;nvarchar;50;YES;18
dbo;syncobj_0x4334323246423334;IdBestellvorschlag;int;NULL;NO;1
dbo;syncobj_0x4334323246423334;IdBestellung;int;NULL;YES;2
dbo;syncobj_0x4334323246423334;BestellDatum;datetime;NULL;NO;5
dbo;syncobj_0x4334323246423334;BestellMenge;float;NULL;NO;7
dbo;syncobj_0x4334323246423334;BestellMengeVPK;float;NULL;NO;8
dbo;syncobj_0x4334323246423334;Bestellt;int;NULL;NO;19
dbo;syncobj_0x4334323246423334;IdRahmenbestellungPosition;int;NULL;NO;22
dbo;syncobj_0x4338304339304138;IdBestellungJournal;int;NULL;NO;1
dbo;syncobj_0x4338304339304138;IdBestellung;int;NULL;NO;2
dbo;syncobj_0x4338393645343642;IdBestellMengenGrenzen;int;NULL;NO;1
dbo;syncobj_0x4338393645343642;MinimumBestellMenge;float;NULL;YES;4
dbo;syncobj_0x4338393645343642;MaximumBestellMenge;float;NULL;YES;5
dbo;syncobj_0x4338393645343642;MinimumBestellMengeVPK;float;NULL;YES;6
dbo;syncobj_0x4338393645343642;MaximumBestellMengeVPK;float;NULL;YES;7
dbo;syncobj_0x4433323446363335;BestellDatum;datetime;NULL;YES;16
dbo;syncobj_0x4433323446363335;BestellMenge;float;NULL;YES;17
dbo;syncobj_0x4433323446363335;BestellMengeVPK;float;NULL;YES;18
dbo;syncobj_0x4437314434464631;IdBestellVorschlag;int;NULL;YES;53
dbo;syncobj_0x4437314434464631;BestellVorschlagRevision;int;NULL;YES;54
dbo;syncobj_0x4530413532423730;BestellDatum;datetime;NULL;NO;7
