TableName;ApproxRowCount;CreatedDate;ColumnCount
---------;--------------;-----------;-----------
syncobj_0x3645323630394232;IdSpediteur;int;NULL;NO
syncobj_0x3645454430384135;EdiImportStatus;int;NULL;YES
syncobj_0x3645454430384135;EdiImportPlausiKategorie;int;NULL;YES
syncobj_0x3645454430384135;EdiImportPlausi;int;NULL;YES
syncobj_0x3645454430384135;IdEdiDokument;int;NULL;YES
syncobj_0x3646373544313934;IdEDIDokumentPosition;int;NULL;YES
syncobj_0x3733324334303831;EditMengeVPK;float;NULL;NO
syncobj_0x3733324334303831;EditMenge;float;NULL;NO
syncobj_0x3733324334303831;EditGesperrteMenge;float;NULL;YES
syncobj_0x3733324334303831;EditGesperrteMengeVPK;float;NULL;YES
syncobj_0x3741433443454535;IdEDIDokumentPosition;int;NULL;YES
syncobj_0x3741433443454535;EdiImportStatus;int;NULL;YES
syncobj_0x3741433443454535;EdiImportPlausiKategorie;int;NULL;YES
syncobj_0x3741433443454535;EdiImportPlausi;int;NULL;YES
syncobj_0x3741433443454535;EdiAbrufMenge;float;NULL;YES
syncobj_0x3741433443454535;EdiAbrufMengeVPK;float;NULL;YES
syncobj_0x3741433443454535;EdiAbrufLiefertermin;datetime;NULL;YES
syncobj_0x3741433443454535;EdiAbrufLadeDatum;datetime;NULL;YES
syncobj_0x3741433443454535;EdiAbrufDatum;datetime;NULL;YES
syncobj_0x3741433443454535;EdiIdVpkVorschrift;int;NULL;YES
syncobj_0x3743313736303639;EditMengeVPK;float;NULL;NO
syncobj_0x3743313736303639;EditMenge;float;NULL;NO
syncobj_0x3743313736303639;EditGesperrteMenge;float;NULL;YES
syncobj_0x3743313736303639;EditGesperrteMengeVPK;float;NULL;YES
syncobj_0x3830383436454337;IdEDIDokumentPosition;int;NULL;YES
syncobj_0x3830383436454337;EdiImportStatus;int;NULL;YES
syncobj_0x3830383436454337;EdiImportPlausiKategorie;int;NULL;YES
syncobj_0x3830383436454337;EdiImportPlausi;int;NULL;YES
syncobj_0x3830383436454337;EdiAbrufMenge;float;NULL;YES
syncobj_0x3830383436454337;EdiAbrufMengeVPK;float;NULL;YES
syncobj_0x3830383436454337;EdiAbrufLiefertermin;datetime;NULL;YES
syncobj_0x3830383436454337;EdiImportAkzeptanz;int;NULL;YES
syncobj_0x3830383436454337;EdiIdVpkVorschrift;int;NULL;YES
syncobj_0x3831424238373631;IdSpediteur;int;NULL;YES
syncobj_0x3832374430374343;IdEDIDokumentPosition;int;NULL;YES
syncobj_0x3835344441433335;EdiImportStatus;int;NULL;YES
syncobj_0x3835344441433335;EdiImportPlausi;int;NULL;YES
syncobj_0x3835344441433335;EdiImportPlausiKategorie;int;NULL;YES
syncobj_0x3835344441433335;EdiPositionsMenge;float;NULL;YES
syncobj_0x3835344441433335;EdiPositionsMengeVPK;float;NULL;YES
syncobj_0x3835344441433335;EdiPositionsLiefertermin;datetime;NULL;YES
syncobj_0x3836314533413937;IdEDIKonfiguration;int;NULL;NO
syncobj_0x3836314533413937;EDITyp;int;NULL;NO
syncobj_0x3836314533413937;EDIRichtung;int;NULL;NO
syncobj_0x3836374332384236;EdiImportStatus;int;NULL;YES
syncobj_0x3836374332384236;EdiImportPlausi;int;NULL;YES
syncobj_0x3836374332384236;EdiImportPlausiKategorie;int;NULL;YES
syncobj_0x3836374332384236;EdiPositionsMenge;float;NULL;YES
syncobj_0x3836374332384236;EdiPositionsMengeVPK;float;NULL;YES
syncobj_0x3836374332384236;EdiPositionsLiefertermin;datetime;NULL;YES
syncobj_0x3936383333354333;IdEDIDokumentPosition;int;NULL;YES
syncobj_0x3943424231324430;IdEDIDokumentPosition;int;NULL;YES
syncobj_0x4132304638333530;BlockedItemState;int;NULL;NO
syncobj_0x4143343841424346;IdSpediteurAdresse;int;NULL;NO
syncobj_0x4143443045304443;IdSpediteur;int;NULL;NO
syncobj_0x4144353535353931;IdSpediteur;int;NULL;NO
syncobj_0x4230464537463235;IdSpediteur;int;NULL;YES
syncobj_0x4246353946413630;IdEDIDokumentPosition;int;NULL;YES
syncobj_0x4334454442353044;IdSpediteuradresse;int;NULL;NO
syncobj_0x4336383130313135;IdSpediteurAdresse;int;NULL;NO
syncobj_0x4341393433304639;EdiImportStatus;int;NULL;YES
syncobj_0x4341393433304639;EdiImportPlausiKategorie;int;NULL;YES
syncobj_0x4341393433304639;EdiImportPlausi;int;NULL;YES
syncobj_0x4341393433304639;IdEdiDokument;int;NULL;YES
syncobj_0x4433373538383730;IdSpediteuradresse;int;NULL;NO
syncobj_0x4437313044394345;IdEDIUpload;int;NULL;NO
syncobj_0x4437313044394345;IdEDIKonfiguration;int;NULL;NO
syncobj_0x4532443643463231;EditMengeVPK;float;NULL;NO
syncobj_0x4532443643463231;EditMenge;float;NULL;NO
syncobj_0x4532443643463231;EditGesperrteMenge;float;NULL;YES
syncobj_0x4532443643463231;EditGesperrteMengeVPK;float;NULL;YES
syncobj_0x4533433743333646;IdSpediteur;int;NULL;YES
syncobj_0x4533433743333646;SpediteurBez;nvarchar;100;YES
syncobj_0x4535313437393343;IdEDIKonfiguration;int;NULL;YES
syncobj_0x4643394144423446;IdEDIDokumentPosition;int;NULL;YES
syncobj_0x4643394144423446;EdiImportStatus;int;NULL;YES
syncobj_0x4643394144423446;EdiImportPlausiKategorie;int;NULL;YES
syncobj_0x4643394144423446;EdiImportPlausi;int;NULL;YES
syncobj_0x4643394144423446;EdiAbrufMenge;float;NULL;YES
syncobj_0x4643394144423446;EdiAbrufMengeVPK;float;NULL;YES
syncobj_0x4643394144423446;EdiAbrufLiefertermin;datetime;NULL;YES
syncobj_0x4643394144423446;EdiAbrufLadeDatum;datetime;NULL;YES
syncobj_0x4643394144423446;EdiAbrufDatum;datetime;NULL;YES
syncobj_0x4643394144423446;EdiIdVpkVorschrift;int;NULL;YES
syncobj_0x4644333530364637;IdSpediteur;int;NULL;NO
syncobj_0x4644383346453835;IdEDIPositionDetail;int;NULL;NO
syncobj_0x4644383346453835;IdEDIDokumentPosition;int;NULL;NO
syspublications;immediate_sync;bit;NULL;NO
syspublications;immediate_sync_ready;bit;NULL;NO
T_Auftraege;EdiImportStatus;int;NULL;YES
T_Auftraege;EdiImportPlausiKategorie;int;NULL;YES
T_Auftraege;EdiImportPlausi;int;NULL;YES
T_Auftraege;IdEdiDokument;int;NULL;YES
T_AuftragsAbrufe;IdEDIDokumentPosition;int;NULL;YES
T_AuftragsAbrufe;EdiImportStatus;int;NULL;YES
T_AuftragsAbrufe;EdiImportPlausiKategorie;int;NULL;YES
T_AuftragsAbrufe;EdiImportPlausi;int;NULL;YES
T_AuftragsAbrufe;EdiAbrufMenge;float;NULL;YES
T_AuftragsAbrufe;EdiAbrufMengeVPK;float;NULL;YES
T_AuftragsAbrufe;EdiAbrufLiefertermin;datetime;NULL;YES
T_AuftragsAbrufe;EdiAbrufLadeDatum;datetime;NULL;YES
T_AuftragsAbrufe;EdiAbrufDatum;datetime;NULL;YES
T_AuftragsAbrufe;EdiIdVpkVorschrift;int;NULL;YES
T_AuftragsPositionen;EdiImportStatus;int;NULL;YES
T_AuftragsPositionen;EdiImportPlausi;int;NULL;YES
T_AuftragsPositionen;EdiImportPlausiKategorie;int;NULL;YES
T_AuftragsPositionen;EdiPositionsMenge;float;NULL;YES
T_AuftragsPositionen;EdiPositionsMengeVPK;float;NULL;YES
T_AuftragsPositionen;EdiPositionsLiefertermin;datetime;NULL;YES
T_BlockingOrders_Positions;BlockedItemState;int;NULL;NO
T_EAIFakturaPositionen;IdSpediteur;int;NULL;YES
T_EAIFakturaPositionen;SpediteurBez;nvarchar;100;YES
T_EAIJournal;IdSpediteur;int;NULL;YES
T_EAIJournal;SpediteurBez;nvarchar;100;YES
T_EAIJournalEx;IdSpediteur;int;NULL;YES
T_EAIJournalEx;SpediteurBez;nvarchar;100;YES
T_EAIJournalSynch;IdEDIKonfiguration;int;NULL;YES
T_EDIDifferenzen;IdEDIDifferenz;int;NULL;NO
T_EDIDokumente;IdEDIDokument;int;NULL;NO
T_EDIDokumente;EDITyp;int;NULL;NO
T_EDIDokumente;EDIRichtung;int;NULL;NO
T_EDIDokumente;EDISchemaVersion;int;NULL;YES
T_EDIDokumentPositionen;IdEDIDokumentPosition;int;NULL;NO
T_EDIDokumentPositionen;IdEDIDokument;int;NULL;NO
T_EDIKonfigurationen;IdEDIKonfiguration;int;NULL;NO
T_EDIKonfigurationen;EDITyp;int;NULL;NO
T_EDIKonfigurationen;EDIRichtung;int;NULL;NO
T_EDIPositionDetails;IdEDIPositionDetail;int;NULL;NO
T_EDIPositionDetails;IdEDIDokumentPosition;int;NULL;NO
T_EDIRouting;IdEDIKonfiguration;int;NULL;NO
T_EDIUpload;IdEDIUpload;int;NULL;NO
T_EDIUpload;IdEDIKonfiguration;int;NULL;NO
T_EntladeAuftraege;IdSpediteur;int;NULL;NO
T_HistoryTransportkosten;IdSpediteuradresse;int;NULL;NO
T_KontenHistorie;EditMengeVPK;float;NULL;NO
T_KontenHistorie;EditMenge;float;NULL;NO
T_KontenHistorie;EditGesperrteMenge;float;NULL;YES
T_KontenHistorie;EditGesperrteMengeVPK;float;NULL;YES
T_KundenAbrufBestaetigungen;IdEDIDokumentPosition;int;NULL;YES
T_KundenAbrufe;IdEDIDokumentPosition;int;NULL;YES
T_KundenAbrufe;EdiImportStatus;int;NULL;YES
T_KundenAbrufe;EdiImportPlausiKategorie;int;NULL;YES
T_KundenAbrufe;EdiImportPlausi;int;NULL;YES
T_KundenAbrufe;EdiAbrufMenge;float;NULL;YES
T_KundenAbrufe;EdiAbrufMengeVPK;float;NULL;YES
T_KundenAbrufe;EdiAbrufLiefertermin;datetime;NULL;YES
T_KundenAbrufe;EdiImportAkzeptanz;int;NULL;YES
T_KundenAbrufe;EdiIdVpkVorschrift;int;NULL;YES
T_KundenBestandHistorie;IdEDIDokumentPosition;int;NULL;YES
T_LadeAuftraege;IdSpediteur;int;NULL;NO
T_LagerBestandsHistorie;EditMengeVPK;float;NULL;NO
T_LagerBestandsHistorie;EditMenge;float;NULL;NO
T_LagerBestandsHistorie;EditGesperrteMenge;float;NULL;YES
T_LagerBestandsHistorie;EditGesperrteMengeVPK;float;NULL;YES
T_LagerPlanungen;IdSpediteur;int;NULL;YES
T_Lieferscheine;IdSpediteur;int;NULL;YES
T_LogEUROLOG;IdSpediteurAdresse;int;NULL;NO
T_Maschine;ProduzierteMengeEditierbar;int;NULL;YES
T_Ruecknahmen;IdSpediteur;int;NULL;NO
T_WareneingangAuftraege;IdSpediteur;int;NULL;NO
T_WareneingangPlanungen;IdEDIDokumentPosition;int;NULL;YES
V_Abrufe;EDITransferStatus;int;NULL;YES
V_AbrufeSuche;EDITransferStatus;int;NULL;YES
V_AppHygieneStatus;IdSpediteur;int;NULL;NO
V_AppHygieneStatus;SpediteurBez;nvarchar;100;NO
V_AppHygieneStatusAlle;IdSpediteur;int;NULL;NO
V_AppHygieneStatusAlle;SpediteurBez;nvarchar;100;NO
V_AppLadeAuftraege;IdSpediteur;int;NULL;NO
V_AppLadeAuftraege;SpediteurBez;nvarchar;100;NO
V_AppLieferplan;Spediteur_LKW;nvarchar;203;YES
V_AppWarenEingaenge;Spediteur;nvarchar;133;YES
V_Auftraege;EdiImportStatus;int;NULL;YES
V_Auftraege;EdiImportPlausiKategorie;int;NULL;YES
V_Auftraege;EdiImportPlausi;int;NULL;YES
V_Auftraege;IdEdiDokument;int;NULL;YES
V_AuftraegeMinimal;EdiImportStatus;int;NULL;YES
V_AuftraegeMinimal;EdiImportPlausiKategorie;int;NULL;YES
V_AuftraegeMinimal;EdiImportPlausi;int;NULL;YES
V_AuftraegeMinimal;IdEdiDokument;int;NULL;YES
V_AuftragsAbrufe;IdEDIDokumentPosition;int;NULL;YES
V_AuftragsAbrufe;IdEdiDokument;int;NULL;NO
V_AuftragsAbrufe;EdiImportStatus;int;NULL;YES
V_AuftragsAbrufe;EdiImportPlausiKategorie;int;NULL;YES
V_AuftragsAbrufe;EdiImportPlausi;int;NULL;YES
V_AuftragsAbrufe;EdiAbrufMenge;float;NULL;YES
V_AuftragsAbrufe;EdiAbrufMengeVPK;float;NULL;YES
V_AuftragsAbrufe;EdiAbrufLiefertermin;datetime;NULL;YES
V_AuftragsAbrufe;EdiAbrufLadeDatum;datetime;NULL;YES
V_AuftragsAbrufe;EdiAbrufDatum;datetime;NULL;YES
V_AuftragsAbrufe;EdiIdVpkVorschrift;int;NULL;YES
V_AuftragsAbrufe;EdiVpkVorschriftBez;nvarchar;100;NO
V_AuftragsPositionen;EdiImportStatus;int;NULL;YES
